1,219004.727,2301084.838,271.88,L_001,-69.25287158949438,109.87863387700283
2,215698.363,2299505.132,272.431,L_001_B,-69.26346919226566,109.79097182607939
3,218657.13,2301002.88,268.874,L_002,-69.25323931386063,109.86966893048653
4,215653.222,2300460.799,272.407,L_002_A,-69.2549190278196,109.79267607567337
5,218333.277,2300861.94,267.484,L_003,-69.25415616529075,109.86112626629009
6,218073.281,2300769.325,266.755,L_004,-69.25470920018961,109.85432795337911
7,217778.923,2300665.256,270.233,L_005,-69.25532800346512,109.84663306324136
8,217474.321,2300559.223,270.672,L_006,-69.25595322732599,109.83867482458949
9,216907.205,2300367.53,267.607,L_007,-69.25706538733098,109.82387369920262
10,216178.102,2300118.81,270.089,L_008,-69.25851356325192,109.80483600096305
11,215883.744,2300018.423,272.332,L_009,-69.25909738315092,109.79714937121348
12,219017.751,2301160.328,272.375,R_001,-69.25221335815509,109.87918212493754
13,218379.421,2300935.024,267.465,R_002,-69.25355391469776,109.86249929178673
14,218125.356,2300852.537,267.997,R_003,-69.25402306820773,109.8558798626372
15,217491.48,2300639.774,271.74,R_004,-69.25525442033529,109.83934307524666
16,217241.13,2300567.139,268.463,R_005,-69.25563890418735,109.83284499245687
17,216451.236,2300287.88,262.921,R_006,-69.25729602143124,109.81219280854255
18,215911.714,2300108.628,271.88,R_007,-69.2583242182858,109.79811906193792
